CustomerID,TotalOrders,TotalQuantity,TotalRevenue,AverageOrderValue,PurchaseFrequency,CustomerLifetimeValue,FirstPurchaseDate,LastPurchaseDate,CustomerLifeSpanDays,AverageDaysBetweenOrders,Country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment,ChurnRisk
18102.0,145,181645.0,580987.04,558.64,0.1965,81012.3,2009-12-01 09:24:00,2011-12-09 11:50:00,738,5.13,United Kingdom,1,145,580987.04,5,5,5,555,2,Champion,Low
14646.0,151,367193.0,528602.52,137.34,0.2052,20742.08,2009-12-02 16:52:00,2011-12-08 12:12:00,736,4.91,Netherlands,2,151,528602.52,5,5,5,555,2,Champion,Low
14156.0,156,164325.0,313437.62,77.62,0.214,12109.19,2009-12-01 12:30:00,2011-11-30 10:54:00,729,4.7,EIRE,10,156,313437.62,5,5,5,555,2,Champion,Low
14911.0,398,147972.0,291420.81,26.31,0.54,10470.85,2009-12-01 11:41:00,2011-12-08 15:54:00,737,1.86,EIRE,1,398,291420.81,5,5,5,555,2,Champion,Low
17450.0,51,83914.0,244784.25,582.82,0.1186,29722.65,2010-09-27 16:59:00,2011-12-01 13:29:00,430,8.6,United Kingdom,8,51,244784.25,5,5,5,555,4,Loyal,Low
13694.0,143,188201.0,195640.69,128.8,0.1954,18422.62,2009-12-04 15:26:00,2011-12-06 09:32:00,732,5.15,United Kingdom,4,143,195640.69,5,5,5,555,2,Champion,Low
17511.0,60,117174.0,172132.87,92.15,0.0816,5526.79,2009-12-02 10:52:00,2011-12-07 10:12:00,735,12.46,United Kingdom,3,60,172132.87,5,5,5,555,4,Loyal,Low
16446.0,2,80997.0,168472.5,56157.5,0.0098,112820.42,2011-05-18 09:52:00,2011-12-09 09:15:00,205,205.0,United Kingdom,1,2,168472.5,5,2,5,525,3,VIP Wholesale,Low
16684.0,55,104810.0,147142.77,204.93,0.0755,11263.77,2009-12-07 12:56:00,2011-12-05 14:06:00,728,13.48,United Kingdom,4,55,147142.77,5,5,5,555,4,Loyal,Low
12415.0,28,91447.0,144458.37,156.0,0.0557,4370.67,2010-06-30 08:30:00,2011-11-15 14:22:00,503,18.63,Australia,24,28,144458.37,4,5,5,455,4,Loyal,Low
15061.0,127,74280.0,126389.02,140.75,0.1728,17876.38,2009-12-01 12:18:00,2011-12-06 12:06:00,735,5.83,United Kingdom,4,127,126389.02,5,5,5,555,4,Loyal,Low
16029.0,107,54450.0,117763.62,318.28,0.1544,34055.71,2009-12-08 11:23:00,2011-11-01 10:27:00,693,6.54,United Kingdom,39,107,117763.62,4,5,5,455,4,Loyal,Medium
17949.0,118,60538.0,117314.08,752.01,0.1603,88722.74,2009-12-02 11:07:00,2011-12-08 18:46:00,736,6.29,United Kingdom,1,118,117314.08,5,5,5,555,4,Loyal,Low
15311.0,208,70149.0,114966.42,26.7,0.2818,5552.76,2009-12-01 11:21:00,2011-12-09 12:00:00,738,3.57,United Kingdom,1,208,114966.42,5,5,5,555,4,Loyal,Low
13089.0,203,58932.0,113416.91,34.21,0.2762,6944.87,2009-12-02 15:44:00,2011-12-07 09:02:00,735,3.64,United Kingdom,3,203,113416.91,5,5,5,555,4,Loyal,Low
12931.0,57,62906.0,92347.34,423.61,0.0795,24146.41,2009-12-01 11:46:00,2011-11-18 12:39:00,717,12.8,United Kingdom,22,57,92347.34,4,5,5,455,4,Loyal,Low
14298.0,82,100272.0,91194.49,31.84,0.1139,2611.13,2009-12-11 13:49:00,2011-12-01 13:12:00,720,8.89,United Kingdom,8,82,91194.49,5,5,5,555,4,Loyal,Low
15769.0,46,49068.0,88612.52,397.37,0.0638,18278.94,2009-12-11 09:58:00,2011-12-02 13:52:00,721,16.02,United Kingdom,7,46,88612.52,5,5,5,555,4,Loyal,Low
12346.0,12,74285.0,77556.46,2281.07,0.03,27372.84,2009-12-14 08:34:00,2011-01-18 10:01:00,400,36.36,United Kingdom,326,12,77556.46,2,5,5,255,4,Loyal,Very High
13798.0,110,48187.0,75428.87,104.62,0.1507,11509.35,2009-12-08 16:21:00,2011-12-08 15:51:00,730,6.7,United Kingdom,1,110,75428.87,5,5,5,555,4,Loyal,Low
15838.0,34,64114.0,73205.5,355.37,0.0477,12086.17,2009-12-15 09:51:00,2011-11-28 14:00:00,713,21.61,United Kingdom,11,34,73205.5,5,5,5,555,4,Loyal,Low
17841.0,211,36584.0,68545.25,5.51,0.2867,1162.67,2009-12-02 15:41:00,2011-12-08 12:07:00,736,3.5,United Kingdom,2,211,68545.25,5,5,5,555,4,Loyal,Low
16754.0,29,63551.0,65500.07,467.86,0.1078,13567.1,2010-03-08 11:32:00,2010-12-02 17:38:00,269,9.61,United Kingdom,372,29,65500.07,2,5,5,255,4,Loyal,Very High
14096.0,17,16352.0,65164.79,12.75,0.1753,216.8,2011-08-30 10:49:00,2011-12-05 17:17:00,97,6.06,United Kingdom,4,17,65164.79,5,5,5,555,1,Regular,Low
